record_id,as_of,spec_hash,sync_run_id,run_at,horizon,n,n_requested,pick_ret,universe_ret,excess
nan,2026-09-18,f4e9911e4593fcc0,,2026-09-21T13:29:08,1,25,25,0.009328255618216921,0.018940033020331606,-0.009611777402114685
nan,2026-09-18,f4e9911e4593fcc0,,2026-09-21T13:29:08,5,0,25,,,
nan,2026-09-18,f4e9911e4593fcc0,,2026-09-21T13:29:08,20,0,25,,,
nan,2026-09-21,c50463b7928c00ee,,2026-09-22T12:58:52,1,25,25,0.011998515724807536,0.0018858254830821874,0.010112690241725349
nan,2026-09-21,c50463b7928c00ee,,2026-09-22T12:58:52,5,0,25,,,
nan,2026-09-21,c50463b7928c00ee,,2026-09-22T12:58:52,20,0,25,,,
30caca6556aa6923,2026-09-21,f4e9911e4593fcc0,d7f2fd26b6ba41a0,2026-09-22T15:31:22+08:00,1,25,25,-0.0026651024141574986,0.0018858254830821874,-0.004550927897239686
30caca6556aa6923,2026-09-21,f4e9911e4593fcc0,d7f2fd26b6ba41a0,2026-09-22T15:31:22+08:00,5,0,25,,,
30caca6556aa6923,2026-09-21,f4e9911e4593fcc0,d7f2fd26b6ba41a0,2026-09-22T15:31:22+08:00,20,0,25,,,
221011fba9b6bb01,2026-09-22,f4e9911e4593fcc0,f92b032613694e90,2026-09-23T12:22:04+08:00,1,25,25,-0.009749823139553472,-0.003708521712418074,-0.006041301427135399
221011fba9b6bb01,2026-09-22,f4e9911e4593fcc0,f92b032613694e90,2026-09-23T12:22:04+08:00,5,0,25,,,
221011fba9b6bb01,2026-09-22,f4e9911e4593fcc0,f92b032613694e90,2026-09-23T12:22:04+08:00,20,0,25,,,
b453db800541a297,2026-09-23,f4e9911e4593fcc0,3248203f44664670,2026-09-23T16:30:43+08:00,1,0,25,,,
b453db800541a297,2026-09-23,f4e9911e4593fcc0,3248203f44664670,2026-09-23T16:30:43+08:00,5,0,25,,,
b453db800541a297,2026-09-23,f4e9911e4593fcc0,3248203f44664670,2026-09-23T16:30:43+08:00,20,0,25,,,
